position,company,description,numreview,location,city
Lead Researcher-BCG Turn Transformation/ BCG Henderson Institute,The Boston Consulting Group,"While the need for corporate transformations is rising, the odds of successful transformation efforts are falling. Despite this, conventional wisdom about big, risky change initiatives is often wrong and guided by beliefs rather than facts due to the lack of sufficient research underpinning the design and execution of transformations.

BCG has been identifying transformation success factors through rigorous research in a collaboration between BCG¬¥s Transformation practice, BCG TURN unit and the BCG Henderson Institute, positioning BCG as the only management consulting company that is able to show empirically what works in transformations. A number of publications have been launched on this topic.

To continue building on the work done to date, we are looking for a research lead to drive further empirical-based research for transformations.

Learn more about BCG Turn: https://www.bcg.com/capabilities/transformation/turnaround-restructuring/default.aspx
and the BCG Henderson Institute: https://www.bcg.com/bcg-henderson-institute/default.aspx.

We are seeking a strong candidate with a passion for transformations, research, and strong analytical ability to lead the next wave of transformation research.

This role will be based in New York and candidate will physically join the BCG Henderson Institute research team; working directly with Lars Faeste, Global Leader Transformation and BCG TURN and Martin Reeves, Director of the BCG Henderson Institute for a ~2-6 month duration.
Conducting rigorous analytical research; using a variety of traditional and non-traditional metrics
Thinking about new, novel ways of approaching evidence based transformation
Working with data analysts and data scientists on the BHI and Transformation and BCG TURN teams to refine approach to quantitative analysis
Liaising and integrating feedback from different internal and external stakeholders
Writing outlines and drafting articles for distribution in high end business and academic journals
Being an internal brand advocate for the evidence-based transformation approach by being key contact for any questions related to the research
Presenting research at key forums and meetings, as needed
Basic Job Requirements
A general strong interest in and motivation for research and analysis
Intellectual agility, problem solving, ability to focus on big picture and on detail, analytical skills and decision making
Full consulting toolkit required and working with senior leadership
Experience working on Transformation projects a plus
This position may require occasional travel to attend meetings
Candidates must be able to perform successfully in a fast-paced, global, intellectually intense, service-oriented environment, keeping with BCG's values and culture
Excellent interpersonal skills, ability to communicate with all organizational levels inside and outside BCG through establishing positive and productive working relationships
Strong communication skills; able to communicate confidently and articulately
Maturity and seasoning that engenders respect and trust from others; good judgment, professionalism, strong interpersonal skills and a collaborative style
High integrity, tact, a positive attitude, and an ability to maintain absolute confidentiality
A can-do attitude and a creative solution seeker
Quick understanding of BCG policies, practices and structure
An active team player with strong organizational, analytical, and project management skills; ability to lead and manage projects with minimal oversight
Comfortable in both working in detail and understanding the big picture
Company Information
The Boston Consulting Group (BCG) is a global management consulting firm and the world˚Ä˚s leading advisor on business strategy. We partner with clients from the private, public, and not-for-profit sectors in all regions to identify their highest-value opportunities, address their most critical challenges, and transform their enterprises. Our customized approach combines deep insight into the dynamics of companies and markets with close collaboration at all levels of the client organization. This ensures that our clients achieve sustainable competitive advantage, build more capable organizations, and secure lasting results. Founded in 1963, BCG is a private company with offices in more than 90 cities in 50 countries. For more information, please visit bcg.com.
Non-discrimination Statement
The Boston Consulting Group is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, sexual orientation, gender identity / expression, national origin, disability, protected veteran status, or any other characteristic protected under federal, state or local law, where applicable, and those with criminal histories will be considered in a manner consistent with applicable state",198 reviews,"New York, NY 10022 ",New York
Real Estate Research Analyst,StepStone Group LP,"About StepStone Real Estate:
StepStone Real Estate (˚Ä˚SRE˚Ä˚) provides its investors and clients with customized exposure to private real estate through its global market relationships, deep research capabilities, granular due diligence, and structuring capabilities. SRE builds this exposure through its commingled funds, customized funds, separately managed accounts, and investment advisory assignments. SRE˚Ä˚s investment approach is to partner with general partners of funds and managers of private real estate operating companies to deliver the capital they require to execute their business plans and create value in their private real estate portfolios. SRE also provides primary equity capital to newly formed funds and joint ventures, recapitalizes existing assets, portfolios and entities, co-invests in new acquisitions, and acquires equity from existing investors on a secondary basis.

Position Overview:
StepStone is currently seeking candidates with excellent quantitative, qualitative and interpersonal skills for an Analyst position with SRE. The Analyst will be based in New York and work in a team environment with other StepStone Real Estate members to review real estate fund opportunities; target and perform due diligence on selected real estate fund managers; and analyze PPMs, financial statements and investment returns. The Analyst will have the opportunity to articulate findings and present recommendations, with the investment team, to the Firm˚Ä˚s Investment Committee. StepStone prides itself on the Firm˚Ä˚s collegial atmosphere, encouraging team˚Ä˚building initiatives and a collaborative approach to accomplishing projects. The Analyst will have exposure to all levels of the Firm, from the Partners to fellow Analysts, on a daily basis. He/she will have opportunities to interact with many of the top fund managers in the real estate industry. The ideal candidate will possess a bachelor˚Ä˚s degree and 2+ years of real estate, investment banking, consulting or other relevant experience. He/she will adhere to the highest ethical standards, as well as demonstrate maturity, reliability and attentiveness to detail.

Essential Job Functions:

Perform market research using publicly available information and proprietary databases to identify, quantify and analyze macroeconomic trends across a variety of property types
Interpret financial analyses prepared by target fund managers, including investment track records and financial statement analysis;
Support Senior Research staff on managing and tracking the inflow of investment opportunities
Assess marketing and supporting materials of prospective fund managers to ident",0 reviews,"New York, NY",New York
Growth Hacker (AI Games),Correlation One,"Growth Hacker

at Correlation One

New York

AI is the biggest meta-trend in history, and companies across the world in every industry will need to become data-driven.

At Correlation One, we build technology to help companies win the race for data talent. Across every industry, companies are in a gold-rush for data talent. We˚Ä˚re selling the shovels.

Here are some facts:

According to Glassdoor, Data Scientist is the #1 job to have in America
Demand for employees with data skills exceeds supply by more than 50%
90% of all data in existence was generated in the last 2 years

At Correlation One, we build technology solutions to help clients navigate the Data Talent market. Our solutions include a novel games-based assessment platform and live data science competitions ( https://www.youtube.com/watch?v=LPZ-bbAdwJE ) which have gone viral on campuses.

Unlike most startups, we are highly profitable. Our clients include the biggest hedge funds, fintech firms, and technology companies in the world!

Correlation One is looking for a Growth Hacker to join our AI Games team. This role involves leading marketing, engagement, and customer success for our newest product: AI Games. AI Games is a new kind of video game, in which users code AI strategies into player movements. Player bots compete against one another in dozens of regional and university-level competitions, and winning players earn significant recognition and monetary rewards.

About the Team:
We are a small group of engineers and data scientists who are accomplished thinkers and doers. Our team includes traders & portfolio managers at multibillion-dollar hedge funds, a Forbes 30 Under 30 winner, a top-20 competitor at the Putnam Math Competition, and published authors in computer science & math.

Our team values a healthy mix of high-level thinking + get-it-done attitude. Everyone checks their ego at the door, where no task is too big or too small.

Our Successes:

Hosted over 35 Datathons in 5 countries.
Over 250 data science organizations and over 50,000 data scientists in C1 Community.
Over 70,000 end-users on our technology products.
Created and hosted prestigious data science competitions at dozens of the world˚Ä˚s best universities, and a world championship at the New York Stock Exchange.
10x year-over-year revenue growth in both 2016 and 2017.
Cash-flow positive with a diligent focus on the bottom-line.
Raised $5 million in Series A funding.
World-class customers like Citadel, Experian, TheHartford, CourseHero and more.

What Sets Us Apart:

High standard of engineering and product quality.
Solve unique challenges on the frontier of data science, technology, and talent markets.
Work directly with industry-leading enterprise clients in finance and technology.
Impact role at an early-stage, high-growth technology startup.

As a Growth Hacker you will:

Help plan and run AI Games competitions at top Universities all over the world including the United States, China, United Kingdom, France and elsewhere.
Conduct research, raise brand awareness, and assist with both online and offline marketing campaigns.
Support and work on a wide range of day-to-day activities related to building and growing the business.
Identify and qualify prospects.
Create and maintain client relationships.
Schedule calls for Account Executives.
Effectively present our company, services and products to potential clients via outbound outreach (email and phone calls).
Provide weekly reporting and forecasts to sales management.
Stay up-to-date with new products/services and competitors.

Some skills we consider critical to being a Growth Hacker


1-3 years experience in a business development role at a technology company; minimum 4-year college degree, or equivalent experience.
Action-oriented problem solver and driven by an entrepreneurial mindset.
Team player who thrives in an energetic and intelligent wo",0 reviews,"New York, NY",New York
"Associate Director, Senior Data Scientist",S&P GLOBAL MARKET INTELLIGENCE,"The Team:
The Data Science team is part of Technology in the S&P Global Market Intelligence. The Data Science team works closely with business stakeholders and divisions to develop cutting-edge data science solutions that enhance our products and services and streamline our operations using machine learning, data engineering, and Visual Analytics,

The Impact: In this role, you will have the opportunity to work on a diverse cutting-edge of data science projects that utilize machine learning and AI to enhance our products, streamline our businesses and operations, and open new market opportunities.

What˚Ä˚s in it for you: S&P Global is a Fortune 500 company and a recognized industry-leading provider of data, analytics and market insight. We provide a data-rich environment and various opportunities to have a lasting impact in data science applications to finance and analytics. This is an opportunity to use your data science skills to change the direction of the company. You will work with data science and technology leaders in the company.

Responsibilities:
Design, develop, and deploy data science projects aimed at solving high-impact business problems using machine learning, natural language processing, and related data science techniques
Implement data science project within the data science lifecycle of development including data preparation, data analysis and modeling, evaluation/interpretation of results and presentation to leaders.
Deliver the data science solution in the form tool, software assets, or report.
Be proactive in the identification data science project opportunities and making the case of data science solutions
Interact with business leaders, domain experts, and end-users to gain business understanding, data understanding, and collect requirements for solutions
Accurately communicate the vision and status of your data science projects to data science leaders, while meeting business expectations.

Basic Qualifications: BS in Math, Statistics, Computer Science, Engineering, Operation Research, or related fields with 7+ years of relevant industry experience
Preferred Qualifications:
MS in Math, Statistics, Computer Science, Engineering, Operation Research or related fields with 4+ years of relevant industry experience
Experience in one or more of the following areas: Machine learning, Statistics, Natural Language Processing, Speech to Text systems, Computer Vision, Information Retrieval, Recommender Systems, and related fields.
Proficient programming skills in Python or R. Optionally, Scalia, Perl, Java, C/C++,
Experience with statistical data analysis, experimental design, and hypotheses validation
Experience with some standard machine learning platforms (e.g., Scikit-learn, tensorflow, pytorch, Caffee, and similar)
A plus:
Experience with NLP platform (word2vec, Stanford NLP, OpenNLP, Gate, Spacy, and similar)
Working knowledge of traditional data storage, relational databases, SQL, and ETL tools
Exposure to Big Data platform and distributed computing such as Hadoop ecosystem (Hive, HBase, Pig) and Spark
To all recruitment agencies: S&P Global does not accept unsolicited agency resumes. Please do not forward such resumes to any S&P Global employee, office location or website. S&P Global will not be responsible for any fees related to such resumes.
S&P Global is an equal opportunity employer committed to making all employment decisions without regard to race/ethnicity, gender, pregnancy, gender identity or expression, color, creed, religion, national origin, age, disability, marital status (including domestic partnerships and civil unions), sexual orientation, military veteran status, unemployment status, or any other basis prohibited by federal, state or local law. O",605 reviews,"New York, NY 10041 ",New York
Quantitative Analyst,AllianceBernstein,"The Analyst will be responsible for conducting quantitative research and portfolio management primarily for US Value equity portfolios. This position will report to the Senior Value Quantitative Research Analyst and the CIO of the US Value products. Additionally, the Analyst will collaborate with Quantitative Analysts and Chief Investment Officers across the equity department.

Enhance and support expected return and risk models, optimizers and other analytics for our Value equity suite of products globally
Partner with the portfolio management team to create actionable recommendations to capture quantitative insights and refine the portfolio construction process
Respond to various quantitative requests from consultants and clients, such as simulations, strategy studies, index/benchmark studies, risk profiles and performance attributions
Develop and maintain strong relationships with cutting edge researchers in both the academic and professional communities to understand recent developments
Analyze strengths and weaknesses of different quantitative approaches
Collaborate with all internal Quantitative Analysts to drive information sharing and leverage expertise
Location: New York, NY

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",61 reviews,"New York, NY",New York
Associate Scientist,Certara,"Certara is hiring a Pharmacometrics Associate Scientist to support the Certara Strategic Consulting team! This position will be remote based in the Toronto area or near one of our east coast offices in the US.

About Certara Strategic Consulting
Certara Strategic Consulting is the largest pharmacometric organization in the world and assures that various career pathways are offered to match the ambition and personal interests of our employees! We are a division of Certara and deliver value by integrating advanced simulation approaches into the most crucial drug development deliverables˚Ä˚to inform internal decision-making and strengthen global regulatory submissions. Leveraging our experience working on thousands of key drug development projects on behalf of hundreds of biopharma companies, we bring a track record of success and a broad range of expertise to each assignment.

Responsibilities

Associate may conduct any or multiple of the following activities as a billable consultant (~80% of ˚Ä˚time in the office˚Ä˚), in the areas of PK and data management.
PK:
Associate PK tasks such as NCA, entry level Modeling and Simulation, creation of TFL, authoring of CSR PK sections, ADA summaries.
Performs noncompartmental analyses (NCA), creation of tables, figures and listings (TFL), authoring of pharmacokinetic (PK) sections in Clinical Study Report, Regulatory Modules, PK analysis plans and ADA summaries.
Performs entry level Modeling and Simulation skills (popPK).
Data Management:
Conducts data-management in support of CSRs and modeling.
Construct datasets and/or databases in support of PK modeling or model-based meta analyses (Trial Specialist).
Conducts quality control and quality assurance activities on datasets and reports.
May participate in company initiatives to improve efficiency of dataset construction, analysis and reports (e.g. IT, methodology, efficiency, automation, quality).
Education & Experience
BS, MSc, PhD, PharmD, or equivalent in Pharmaceutical Sciences, Pharmacology, Toxicology, Statistics, Mathematics, or related fields.
Minimum 1- 5 yearsÅEÄÅE experience and expertise in PK analysis, data management, reporting writing, and regulatory requirements.

Skills & Abilities
General knowledge of clinical drug development and demonstrated knowledge of pharmacokinetics and pharmacology is preferred.
Proficiency in performing PK and statistical analysis using software (e.g., WinNonlin), and optimally statistical analysis using software (SAS/R).
Proficiency in performing PK using software (e.g. WinNonlin, Phoenix WinNonlin, AutoPilot) or is an expert in dataset construction (e.g. R, S-plus, SAS).
Entry level developing modeling skills preferred
R skills a plus
Ability to support and coordinate multiple projects as requested.
Excellent verbal and written communications skills in English.

About Certara
Certara is a growing company that provides a novel and exciting place to work. Our purpose is to assist in accelerating the development of meaningful med",4 reviews,"Parsippany, NJ",New York
Exciting Senior Data Scientist at Successful Startup,Harnham,"Senior Machine Learning Engineer, Health and Adtech
New York, New York
$150,000 - $180,000 base salary + equity + full benefits
One of our key clients in New York City is a well established startup which has just received their Series C funding; they were established in 2015! They have seen great success with their health based mobile and have collected a large database which is just starting to be analyzed.
Their top priority is expanding their new Machine Learning and Engineer teams to better personalize their platform for their customers.
THE ROLE
They are looking for someone who is not afraid to get their hands dirty in data and be part an integral part of their team's expansion.
You will be tasked with developing recommender systems an predictive models with Machine Learning with data collected from various personalized sources and APIs.
You will implement existing code as well as build out new code to production to personalize their platform's training.
YOUR SKILLS AND EXPERIENCE
The successful Senior Machine Learning Engineer will likely have the following skills and experience:
Heavy experience using Python and Java for predictive modeling and data manipulation
5-7 years experience building models with Machine Learning
Prior experience as a Software Engineer
Adtech or Health experience preferred
Master's degree is quantitative field, PhD a plus
Deep Learning knowledge a plus
THE BENEFITS

A competitive base salary of $150,000-$180,000 + equity + benefits. Options are available.


HOW TO APPLY

Please register your interest by sending your r√©sum√© to Tim Jonas via the Apply link on this page.


KEYWORDS

Machine Learning | Python | Java | SQL | Hadoop | Data Science | Analytics | Adtech | Startup | Health",0 reviews,"New York, NY",New York
Research Study Specialist- Immunotherapy Core service,Memorial Sloan Kettering,"At Memorial Sloan Kettering (MSK), we˚Ä˚re not only changing the way we treat cancer, but also the way the world thinks about it. By working together and pushing forward with innovation and discovery, we˚Ä˚re driving excellence and improving outcomes.

For the 28th year, MSK has been named a top hospital for cancer by U.S. News & World Report. We are proud to be on Becker˚Ä˚s Healthcare list as one of the 150 Great Places to Work in Healthcare in 2018, as well as one of Glassdoor˚Ä˚s Employees˚Ä˚ Choice Best Place to Work for 2018. We˚Ä˚re treating cancer, one patient at a time. Join us and make a difference every day.

Job Details:

We Are:

Research is integral to our mission at Memorial Sloan Kettering, and clinical trials help us discover better forms of patient care and treatment. Our extraordinary scientists and clinicians work together to drive innovation and tackle some of the greatest challenges of biomedical science.

Memorial Sloan Kettering is seeking a Research Study Specialist (RSS) ˚Ä˚ Clinic for the Immunotherapy Core service, focusing on responsibilities related to the coordination of clinic.
A Research Study Specialist (RSS) may be assigned to the following type of projects:

Clinic
Preceptorship of research staff
Special projects (i.e. short-term studies, RSA training, etc)
This is an opportunity for research staff to get experience on research projects in a variety of departments and services within the clinical research community at MSK.

You Are:

Interpersonal Savvy, relating openly and comfortably with diverse groups of people.
Curious and eager to tackle a wide variety of problems across the clinical research community at MSK
Adaptable to the needs of other departments and services
A good decision-maker, with proven success at making timely decisions that keep the organization moving forward
Consistently achieving results, even under tough circumstances
Organize, able to follow through any pending or unresolved tasks
Detail oriented, able to complete tasks accurately and proofread all assigned tasks
Able to hold yourself and others accountable in order to achieve goals and live up to commitments
An effective communicator, capable of determining how best to reach different audiences and executing communications based on that understanding
Resilient in recovering from setbacks and skilled at finding detours around obstacles
Flexible in your approach and demeanor in order to align with the shifting demands of evolving circumstances within the various departments
Interested in gaining exposure to medical terminology and the various disease types treated at MSK
A collaborator, building partnerships and working collaboratively with others to meet shared objectives.
You are comfortable with or interested in working with and organizing large amounts of data
Computer savvy, comfortable with Microsoft and can navigate through various databases
You Will:

Be responsible for coordinating and performing tasks in clinic
Provide clinic support by assisting with patient management on study
Support and help ensure complete regulatory compliance and data collection in clinic
Ensure that all appropriate institutional, state, and federal regulations are followed throughout the research protocols
Train new staff members in clinic
Assist with short-term projects and provide cross-coverage to various research teams
You Have:

A BachelorÅEÄÅEs degree plus two yearÅEÄÅEs clinical research experience
Excellent communication, problem-solving abilities to analyze situations, draw conclusions, make recommendations as needed and convey this information in a timely and proficient manner
The ability to multitask and use specialized knowledge and experience to handle complex work assignments, including cross-coverage throughout the institution
The ideal candidate would be someone who is responsible, organized, detail-oriented, likes taking initiative, and can communicate with different departments
Hours:

9am ÅEÄÅE 5pm (Monday-",703 reviews,"New York, NY",New York
Business Analyst,Hudson River Trading,"Hudson River Trading is hiring a Business Analyst for its New York office. The position offers an opportunity to be exposed to the inner workings of a successful automated trading firm. We are looking for an analyst who loves being challenged, hates to climb corporate ladders, and wants to make an immediate and tangible impact.

The right candidate will be an enthusiastic learner with an interest in automated trading. You will be exposed to the firm˚Ä˚s business operations, project management, compliance, accounting and clearing. In this role you can always expect to be challenged by the ever-changing financial markets, and find yourself solving challenging problems in an extremely fast-paced, real-time environment.

Responsibilities


Track and manage exchange upgrades and new markets
Manage firms market data reporting
Exchange Market Data
Index Data
Reference Data
Onboard clients
Onboard HRT with new brokers and exchanges
Interface with exchanges and brokers to aid in HRT˚Ä˚s trading operations

Skills


Excellent interpersonal, written and oral communication skills
A strong work ethic and desire to see complex projects from concept to completion
Strong attention to detail
Ability to work independently in a fast-paced environment
Technical skills (Unix, C++, Python) are a plus
Understanding of trading and exchanges is a plus
Ability to work across disciplines, and quickly transition from one project to another.
We are interested in candidates with STEM degrees for this role: science, technology, engineering, math

Culture

Hudson River Trading brings a scientific approach to trading financial products. We have built one of the world's most sophisticated computing environments fo",2 reviews,"New York, NY 10005 ",New York
Assistant Research Technician ÅEÄÅE Cardiology,NYU Langone Health,"NYU School of Medicine is one of the nation's top-ranked medical schools. For 175 years, NYU School of Medicine has trained thousands of physicians and scientists who have helped to shape the course of medical history and enrich the lives of countless people. An integral part of NYU Langone Health , the School of Medicine at its core is committed to improving the human condition through medical education, scientific research, and direct patient care. For more information, go to med.nyu.edu , and interact with us on Facebook , Twitter and Instagram .

Position Summary:
We have an exciting opportunity to join our team as a Assistant Research Technician.

In this role, the successful candidate Responsible for performing basic laboratory experiments, and a variety of experiments of routine nature, collaborating with lab members on different projects, contributing the organization of the lab, project knowledge, and providing support for various aspects of experimental research. Works under general supervision in the laboratory. Will also work under the research coordinator to track participant recruitment and data collection and administrative duties.

Job Responsibilities:
Demonstrates knowledge of the organizations Service Standards and incorporates them into the performance of duties.
Data Collection & Tracking: work under the research coordinator to track participant recruitment and data collection.
Lab Duties - Basic lab duties under general supervision as well as more advanced duties under direct supervision. Performs routine technical tasks, and is expected to help with the routine processing of clinical samples from research protocols.
Assists in Developing Procedures - Assists in implementing new procedures and protocols to support experiments. Participates actively in developing, recommending and implementing new approved procedures, or modifications to existing protocols and procedures. Maintains and updates technical knowledge.
Communication/Relationship with Others - Cooperates, communicates and relates well to all levels of Medical Center. Listens carefully to others in order to respond appropriately, answer questions or obtain needed information. Communicates ideas, problems, suggestions, and messages in a timely and effective manner. Maintains the confidentiality of all research information. Effective oral and written communication skills.
Judgment/Decision-Making - Is able to recognize problems as they occur; and through the application of appropriate policy/ procedure, determine and/or recommends the appropriate solution. Seeks guidance as necessary for the performance of duties asks appropriate questions when in doubt and utilizes reference sources/materials to endure accuracy. Advises appropriate personnel of situations/problems requiring intervention or follow-up attention.
Performs other lab and administrative duties as assigned.

Minimum Qualifications:
To qualify you must have a This is an entry level trainee position with no experience necessary and a Bachelor's of Science Degree in Life Sciences or a related field is not required (but preferred). Strong written and verbal communication skills are required.

Preferred Qualifications:
Bachelor's of Science Degree in Life Sciences or a related field preferred
Qualified candidates must be able to effectively communicate with all levels of the organization.

NYU School of Medicine provides its staff with far more than just a place to work. Rather, we are an institution you can be proud of, an institution where you'll feel good about devoting your time and your talents.

NYU School of Medicine is an equal opportunity and affirmative action employer committed to diversity and inclusion in all aspects of recruiting and employment. All qualified individuals are encouraged to apply and will receive consideration without regard to race, color, gender, gender identity or expression, sex, sexual orientation, transgender status, gender dysphoria, national origin, age, religion, disability, military and veteran status, marital or parental status, citizenship status, genetic information or any other factor which cannot lawfully be used as a basis for an employment decision. We require applications to be completed online.
If you wish to view NYU School of Medicine's EEO policies, please click here . Please click here to view the Federal ""EEO is the law"" poster or visit https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm for more information.",705 reviews,"New York, NY 10016 ",New York
"Associate, Analytics",Xaxis,"Position Overview
Xaxis is actively looking for an Associate Analyst to join our Analytics team.
At Xaxis, you will collaborate with a group of quick witted, humorous, and extremely dedicated coworkers and clients who are all passionate about digital media. The Xaxis work environment is inviting. You will work in an open modern space where you will often find groups in casual brainstorming sessions sharing ideas and strategies for new initiatives. Everyone has a voice at Xaxis, and we are open to new ways of thinking, especially those that will contribute to the overall success of Xaxis. Opinions and ideas are always welcome, in fact they are encouraged!
We believe in the power of digital media to transform the way businesses and consumers can interact. You must believe as well.
Responsibilities
Develop customized dashboards to track and optimize campaign performance
Manage pacing and reporting for multiple stakeholders throughout the organization
Deliver insights across multiple accounts under the leadership of senior analytics and account staff
Manage analytics project execution while being mentored on best practices
Develop analytics and insight presentations
Draw on expertise of functional experts to continually develop skills and capabilities
 Essential Qualifications
Bachelor˚Ä˚s degree, preferably in Marketing/Business, Statistics, Economics, Operations Research, or related field
Prior experience in data extraction, manipulation, analysis and reporting
Understanding of online marketing, digital media, programmatic media, web metrics, and campaign reporting
Advanced knowledge and proficiency in use of Microsoft Excel, Powerpoint
Possession of excellent communication and presentation skills
Ability to manage multiple projects, interact with senior management and clients, understand corporate strategy, and present actionable findings
Highly Desired
Data Visualization experience (Tableau, GoodData, DOMO, Datorama)
Prior experience in marketing analytics, consumer insights, programmatic media, ad serving platforms, media agencies, trading desks or a relevant start-ups.
Knowledge of various measurement and campaign measurement technologies or methodologies, including website traffic analytics software, media attribution methodologies, demand side platforms (DSPs), data management platforms (DMPs) or digital ad operations.Experience in defining/designing/building/managing performance reporting
Modeling and programming experience especially in the digital environment
Experie",11 reviews,"New York, NY",New York
"Global Lead, Ecommerce Strategy and Capabilities",ZX Ventures,"ZX Ventures is a global incubator, operator, and venture capital team backed by Anheuser-Busch InBev. We are a small army of futurists, dreamers, doers, designers, engineers, scientists, marketers, brewers, builders, and data geeks. From operating leading craft breweries, eCommerce sites, technology products and retail operations to investing in innovative third-party companies, ZX Ventures is accelerating the future. With offices in over 10 countries, the opportunities are as vast and diverse as our team of professionals.

We are here to invest ahead of the curve: seeding, launching, and scaling new products that deliver exceptional consumer experiences and bring people together.

We are currently searching for top talent to work in our Global E-Commerce team. Our goal is to find entrepreneurial people who share our passion for growth and have demonstrated their ambition through interesting and demanding professional roles and education. Our strength lies in the diversity of our team members˚Ä˚ previous experiences. For all of our roles, we are open to candidates from a number of backgrounds, including experience with top startups, management consulting, operations, and other related functions or industries.

Responsibilities for the role include:

E-commerce owned store (direct to consumer) strategy and roadmap
Internal consultant for teams in 16 countries, supporting local markets to develop product roadmaps and address key business challenges
E-commerce capabilities, making sure local markets are resourced and trained appropriately, having easy access to best practices and applying best-in-class process and methodologies
Define, track, and analyze key success metrics to help guide best practice sharing and address gaps in capabilities
Responsible for e-commerce industry initiatives, developing relationships with key stakeholder and establishing ABI/ZX as a clear thought-leader in the space
Support e-commerce expansion agenda, validating and pursuing new business models, new markets, and M&A opportunities

Sound interesting to you? HereÅEÄÅEs what weÅEÄÅEre looking for:

A minimum of 5 years of experience working in the e-commerce industry
Someone who is passionate about e-commerce, with good connections in the industry and familiar with the latest trends.
Experience as an entrepreneur or product manager. Someone that has created a business or product, taking it from start to finish, concept to launch.
Someone with leadership experience, that has managed teams and run a business.
Venture capital experience is a plus, either having worked for a VC fund focused on e-commerce businesses or having experience raising capital as an entrepreneur.
Someone who is intellectually curious about start-ups, technology, product management, design, and lean methodologies.
Excellent strategic and analytical thinking skills. S",0 reviews,"New York, NY",New York
Environmental Scientist,Eagle SNG,"Job Summary

A premier regional environmental consult ing and remediation firm, is seeking motivated environmental profes sionals to join their expanding team. Candidates must possess a BS degree in environmental science, geology, engineering or a related discipline, have completed OSHA 40-hour HAZWOPER training and have a minimum of 5 years of relevant experience and background with an environmental, engineering and/or remediation company.

Job Responsibilities:
With senior oversight, handles most aspects of case management / project management for commercial and industrial project work;
Prepares technically accurate, complete and concise work plans based on evaluation of site data needs;
Performs or manages the implementation of project work plans including staff briefing, scheduling, subcontractor coordination and sample collection;
Evaluates, analyzes and interprets technical data relative to project-specific goals, creates and interprets accurate data display graphs and figures, completes basic fate and transport analysis, and identifies data gaps and data needs leading to development of Remedial Action Workplan;
Works with and mentors junior staff to ensure all resources are in place for proper fieldwork and reporting execution;
Develops and manages budgets, evaluates budget vs. plan and analyzes cost control efficiencies;
Communicates with clients, third party and regulatory agents regarding project status, schedules and compliance issues; and
Ensures adherence to client and corporate contract specifications in all activities including Health, Safety, Security, and Environment

Requirements:
A Bachelor's degree or higher in Geology, Environmental Science or a related discipline
5 to 12 years of related experience. Must include fieldwork and office based experience in environmental consulting field;
Must possess excellent communication and technical writing skills and be able to independently prepare a complete deliverable report with a focus on QA/QC;
Must have working knowledge of New Jersey's environmental regulat ions;
Must be able to work with minimal supervision on field sampling, remedial system O&M, and related site characterization projects; and excellent communication skills are a must and mechanical aptitude is a plus.

Bottom line requirements:
1. BS degree in environmental science, geology, engineering or a related discipline?

2. 5 - 12 years of relevant experience and background with an environmental, engineering and/or remediation company?

3. Experience writing reports from the phase 1 process all the way up to final Remedial Action reports?",0 reviews,"Parsippany, NJ",New York
Quantitative Analyst,RBC,"What is the opportunity?
Quantitative Analyst responsible for quantitative analysis, development of tools and operational support on the RBC trading desk.

What will you do?
Develop software tools and perform quantitative analysis in support of the trading desk
Provide technical and operational support on all components of the front office trading platform and provide technical and operational support for the desk
Ensure that trade and position information passes properly to custodians, accounting, regulatory authorities, risk management, and other groups organizations that require data
Keep up to date with the latest development in technology and the marketplace

What do you need to succeed?
Must-have
Undergraduate degree from an accredited university
Strong development skills in Python, SQl and R
Knowledge of well-established operating systems such as unix, linux and windows.
Familiarity with debugging tools, experience with performance optimization, etc.

Nice-to-have
Quantitative and analytical skills with data analysis
Database experience and GUI development experience

What˚Ä˚s in it for you?
We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.
A comprehensive Total Rewards Program including bonuses and flexible benefits, competitive compensation
Leaders who support your development through coaching and managing opportunities
Ability to make a difference and lasting impact
Work in a dynamic, collaborative, progressive, and high-performing team

About RBC
Royal Bank of Canada is Canada˚Ä˚s largest bank, and one of the largest banks in the world, based on market capitalization. We are one of North America˚Ä˚s leading diversified financial services companies, and provide personal and commercial banking, wealth management, insurance, investor services and capital markets products and services on a global basis. We have over 80,000 full- and part-time employees who serve more than 16 million personal, business, public sector and institutional clients through offices in Canada, the U.S. and 37 other countries. For more information, please visit rbc.com .

Join our Talent Community
Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.
Expand your limits and create a new future together at RBC. Find out how we use our passion and d","2,763 reviews","New York, NY",New York
