position,company,description,numreview,location,city
DATA ENGINEER,Change Healthcare,"Transforming the future of healthcare isn˚Ä˚t something we take lightly. It takes teams of the best and the brightest, working together to make an impact.

As one of the largest healthcare technology companies in the U.S., we are a catalyst to accelerate the journey toward improved lives and healthier communities.

Here at Change Healthcare, we˚Ä˚re using our influence to drive positive changes across the industry, and we want motivated and passionate people like you to help us continue to bring new and innovative ideas to life.


If you˚Ä˚re ready to embrace your passion and do what you love with a company that˚Ä˚s committed to supporting your future, then you belong at Change Healthcare.

Pursue purpose. Champion innovation. Earn trust. Be agile. Include all.

Empower Your Future. Make a Difference.
The new Data Science group was formed to dramatically increase leverage of Emdeon˚Ä˚s data assets to create material new revenue opportunities, both within specific Business areas and also across multiple lines of business. With data and transactions from more than 1,200 payers and 340,000 providers, Emdeon is uniquely positioned to impact US Healthcare.


Do you like working with data? Do you want to use data to influence product decisions for products being used by over a third of US healthcare? If yes, we want to talk to you. Our data engineering team works very closely with Product Managers, Data Scientists and Architects to figure out ways to acquire and maintain data to support new and existing data products. In this role, you will see a direct link between your work and company growth. In this role, you will ",406 reviews,"Emeryville, CA",San Francisco
"Quantitative Analyst, Associate/AVP",MUFG,"Discover your opportunity with Mitsubishi UFJ Financial Group (MUFG), the 5th largest financial group in the world with total assets of over $2.4 trillion (as ranked by SNL Financial, April 2016) and 140,000 colleagues in nearly 50 countries. In the U.S., we˚Ä˚re 13,000 strong, working together to positively impact every customer, organization, and community we serve. We achieve this by delivering on our values, putting people first, fostering long-term relationships built on honesty and mutual understanding, and inspiring the best in each other. This is all part of our inclusive, high-performing culture supported by Total Rewards that include our cash balance pension plan. Join a team that˚Ä˚s working to fulfill its vision to be the world˚Ä˚s most trusted financial group.

Job Summary:
Position is responsible for managing historical and current portfolio data, working closely with the other members of the Advanced Internal Ratings Based (AIRB) Modeling team. This job is focused on all aspects of PD/LGD/EAD modeling: data mining, model development and on-going model maintenance. This position will include risk analysis and reporting tasks.

Major Responsibilities:
Applying strong analytical abilities, risk methodology knowledge and finance/banking knowledge

Applying strong intellectual curiosity and cutting-edge analytical capabilities to challenging modeling problems, often working with sub-ideal or spotty data

Applying strong risk knowledge to solve problems independently, without relying on daily supervision

Staying abreast of risk management developments and innovations, regulatory developments and industry news, and retaining a good understanding of industry best practice

Generating data extracts for use in statistical analysis. Leveraging strong programming skills to extract useful information from imperfect data

Assisting with gathering, validating, cleaning and organizing historical data for the bank's commercial portfolios

Using SAS Enterprise Guide, Python, and other programming tools to assist in the calculation of risk parameters (PD, LGD and EAD). Application of business logic in a complex data environment (e.g. applying Basel II consistent default definitions on the account level based on linking information from different data sources)

Documentation of workflow for Basel II purposes

Qualifications:
Bachelors degree or higher in statistics, finance, or other quantitative field. Advanced degree preferred",40 reviews,"San Francisco, CA",San Francisco
"Lead Data Scientist, Decision Science",Glassdoor,"At Glassdoor, our mission is to help people everywhere find a job and company they love. We do that by matching people with the best jobs for them. This is a hard problem and we are looking for curious and brilliant individuals who are up for revolutionizing the way people find and choose jobs. Each month, around 50M users visit Glassdoor, but our aspiration is to enable every person in the world with deep content & jobs information. We need your help to accelerate this growth further... Come join us!

Position based in beautiful Bay Area! We have offices both in San Francisco and Mill Valley!

Decision Science @ Glassdoor:
The Decision Science team drives data-driven strategy and decision making across the company through predictive analytics, testing and optimization. We work on a wide variety of problems by proactively identifying opportunities. We drive product prioritization and inform business strategy by developing a deep understanding of our users and clients. The Decision Science team is partner to our department leaders and executive team to drive sound data-based decision making across Product, Marketing, and Sales teams. We define data-driven cross-functional initiatives, and drive execution.

This Role:
The ideal candidate will be extremely results driven and passionate about winning. You exercise very sound judgment and have the ability to balance sophistication with simplicity, scientific rigor with pragmatism and agility with quality. You will drive deep and holistic understanding of our jobs marketplace and job seekers through applying a mix of machine learning, statistics and analytics skills. For example: What makes a job seeker more likely to apply for a job? What in our marketplace drives business customers retention? How should we price different type of clicks? What drives different amount of applications to similar jobs? Do we have market inefficiencies and how should we solve those? What drives job seekers repeat visits? Explain and predict whether prospect will become a customer, a customer to renew his subscription, a customer to grow his spend and more.

Requirements:

Degree in a quantitative field (statistics, operations research, math, etc.) with strong experience in data & business analysis
4+ years of quantitative experience, ideally in an Internet company

No less than expert level usage of SQL or Hive

Experienced with coding and running machine learning and regression models in R, Python or Pyspark
Thorough knowledge of statistics and some A/B test experience
Strong visualization skills and experience with BI tools (ex. Tableau)
Strong presentation skills. You are able to confidently distill and present insights to senior management
Some experience with analyzing logs; experience with Hive / Pig is a big plus
Proven experience in managing / mentoring junior team members

Why Glassdoor?


Work with purpose ÅEÄÅE join us in creating transparency for job seekers everywhere
Glassdoor gives back! Glassdoor is a Pledge 1% member; all employees receive 3 paid volunteer days per year
100% company paid medical/dental/vision/life coverage; 80% dependent coverage
Long Term Incentive Plan
Sunny & peaceful Mill Valley offices located right on the water
Walking, running and biking trails steps away from the office
Onsite gym and fitness classes
Free catered lunch; new menu daily
Paid holidays and flexible paid time off
Your choice between Mac or PC
Dog-friendly office (with dog-free zones if you are so inclined)
Free parking

Glassdoor is committed to equal treatment and opportunity in all aspects of recruitment, selection, and employment without regard to gender, race, religion, national origin, ethnicity, disability, gender identity/expression, sexual orientation, veteran or military status, or any other category protected under the law. Glas",23 reviews,"Mill Valley, CA 94941",San Francisco
"Staff or Principal Scientist, Advertising","Pandora Media, Inc.","At Pandora, we're a unique collection of engineers, musicians, designers, marketers, and world-class sellers with a common goal: to enrich lives by delivering effortless personalized music enjoyment and discovery. People˚Ä˚the listeners, the artists, and our employees˚Ä˚are at the center of our mission and everything we do. Actually, employees at Pandora are a lot like the service itself: bright, eclectic, and innovative. Collaboration is the foundation of our workforce, and we˚Ä˚re looking for smart individuals who are self-motivated and passionate to join us. Be a part of the engine that creates the soundtrack to life. Discover your future at Pandora!

As Senior Scientist, Advertising you˚Ä˚ll help us find out just how far we can go to bringing music to the world. We are dedicated to music because we think it has enormous potential to make people˚Ä˚s lives better - and that dedication starts with our team; we want Pandora to be an amazing place to thrive in your career and we˚Ä˚re betting that when you take a look inside you˚Ä˚ll see why there might be a place here for you. Computational advertising brings in special challenges and opportunities here at Pandora. It might surprise you to learn that we are one of the largest mobile display advertisers and that we have over nine percent of the entire radio market here in the USA. And, the truly surprising part of this is that itÅEÄÅEs only the beginning. For this special role weÅEÄÅEre looking for someone with deep background in all facets of ad science with an interest in joining Pandora in its mission to unleash the infinite power of music.

Responsibilities:
Work closely with our ads engineering and analytics teams to analyze and model complex advertising data
Design and develop solutions for serving audio ads
Use machine learning and information retrieval techniques to personalize the advertising experience for our listeners
Requirements:
5-7 years ""lated experience
Masters in a quantit",33 reviews,"Oakland, CA",San Francisco
"Research Associate, Infectious Disease",Chan Zuckerberg Biohub,"The Chan Zuckerberg Biohub (the ""CZ Biohub˚Ä˚) is a newly formed, well-funded, non-profit, life science research institute located in the Mission Bay neighborhood of San Francisco, California. We are committed to solving some of the world˚Ä˚s biggest problems together: we seek to help cure, prevent or manage all human diseases in our children˚Ä˚s lifetime. We find and invest in the best and brightest scientists and engineers and we seek to create an environment of true and free-flowing collaboration. We provide the best technologies and tools available ˚Ä˚ and when they don˚Ä˚t exist yet, we build them.
We are seeking an outstanding research associate to join our Infectious Disease team to investigate how viruses hijack host cellular machinery and how host cells defend themselves against infections. The candidate will work on projects focused on studying virus-host interactions using genetic (e.g. CRISPR) and biochemical (e.g. CoIP) tools. The ideal candidate will be capable of experimental design, execution, troubleshooting and data analysis. Recent BS/MS graduates seeking research experience before graduate or medical school application are encouraged to apply.

Specific responsibilities will include:

Culture, maintenance and transfection of mammalian cell lines and primary cells
DNA/RNA purification and PCR for the analysis of CRISPR-based genome editing ex",0 reviews,"San Francisco, CA",San Francisco
Senior/Principal Digital Health Platforms Data Scientist (PHC),Roche,"POSITION SUMMARY
The convergence of scientific knowledge and advanced technology has created an unprecedented opportunity for the biotechnology industry to improve outcomes for patients today and in the future. The Personalized Healthcare (PHC) function aims to transform drug development and enable patient access and patient care by leveraging meaningful data at scale ˚Ä˚ high-dimensionality datasets with longitudinal clinical trial and real-world data from large cohorts of patients, with deep characterization of individuals using techniques such as whole genome sequencing, transcriptomics, immune system profiling, anatomic and pathology imaging, and digital approaches to continuous monitoring. The PDP function builds capabilities for data and insight sharing; applies advanced analytics to identify novel targets and biomarkers to increase development productivity and new methods for characterizing disease states and quantifying disease activity; generates insights to fundamentally change the drug development paradigm; and shapes the internal and external environment to enable value recognition from these insights.

The Digital Health Platforms department within PDP is chiefly responsible for late-stage development of digital tools, including devices and mobile medical applications, which enable patient data collection, monitoring, and optimized care of patients across a range of therapeutic areas. This newly created role, Senior/Principal Scientist, Digital Health Platforms, reporting to the Global Head Digital Health Platforms will collaborate closely with the I2O function, other digital health groups across Roche, as well as internal partners within PDP, Product Development, the Research and Early Development (gRED, pRED) organizations, Roche Diagnostics, Pharma Partnering and Information Technology to set and implement the strategy and direction for digital health to transform drug development in specific areas of respiratory disease.

RESPONSIBILITIES
DEVELOP & DRIVE DIGITAL HEALTH STRATEGIES: In collaboration with clinical development programs and other digital health groups within Roche, develop and drive overarching digital health strategies to support research and development of our molecules and enable personalized patient care and access. Lead/participate in investigator meetings, advisory committee meetings.
DELIVER PORTFOLIO AND BUSINESS: Resource molecule and disease area teams and initiatives effectively with internal and outsourced capabilities to deliver high quality, rigorous and fit-for-purpose digital health solutions according to company priorities and opportunities to impact business. Provide expert advice to the Program team for the clinical development of digital platforms and therapeutics. Originate, review and provide valuable input into clinical documentation to support clinical development and regulatory filings.
SHAPE INTERNAL & EXTERNAL ENVIRONMENT: Lead or contribute significantly to functional, cross functional, enterprise-wide or external digital health communities, networks, collaborations, initiatives or goals on knowledge-sharing, methodologies, innovations, technology, IT infrastructure, policy-shaping, etc. to enable broader and more effective use of digital health platforms to support business.
ACQUIRE EXTERNAL CAPABILITIES: Collaborate with internal partners in due-diligence to assess and acquire/ collaborate with external capabilities in digital health, etc. of strategic business fit to the business.
INNOVATE OUR FUNCTION: Define functional objectives and strategy, identify opportunities, gaps and priorities, and contribute to best practice standards. Stay abreast of emergent applications, methodologies, technologies, and external guidelines, and implement change to positively evolve the functionÅEÄÅEs capabilities and impacts.
FOSTER OUR CULTURE: Develop strong internal partnerships to promote effective collaborations. Lead by example in promoting a collaborative and entrepreneurial culture and a global mindset. Be an agent for change and engage support for innovative ideas and solution.

MINIMUM QUALIFICATIONS
MD, PhD or equivalent, with significant experience in drug development.
Subject matter expertise and clinical experience in respiratory medicine preferable in asthma.
Track record of success in developing digital health platforms, including va","1,578 reviews","San Francisco, CA",San Francisco
"Associate, Strategy and Business Operations - Quality",JUUL Labs,"THE COMPANY:
JUUL's mission is to improve the lives of the world˚Ä˚s one billion adult smokers by driving innovation to eliminate cigarettes. JUUL is the number one US-based vapor product. Headquartered in San Francisco and backed by leading technology investors including Tiger Global, Fidelity Investments and Tao Invest LLC, JUUL Labs is disrupting one of the world˚Ä˚s largest and oldest industries.

We˚Ä˚re an exceptional team with backgrounds in technology, healthcare, CPG and biotech, and we˚Ä˚re growing rapidly to deliver on our mission. We˚Ä˚re actively looking to hire the world˚Ä˚s best scientists, engineers, designers, product managers, supply chain experts, customer service and business professionals.

ROLE AND RESPONSIBILITIES:
JUUL Labs is seeking an Quality Associate/Senior Associate to join the Strategy and Business Operations team. Work output will be featured at the highest levels of the company with real opportunity to influence business direction. This role is ideal for someone that has completed an analyst stint in consulting or investment banking and wants to learn more about how to run a high-growth business. Potential projects include:


Evaluating business development opportunities and strategic partnerships
Delivering data-driven priorities for JUULÅEÄÅEs expansion plan across sales channels, geographies, and consumer segments
Assessing competitive market dynamics and company positioning
Contributing to valuation exercises and financing activities
Working on top-priority special projects and ad-hoc analyses
Providing input into product mix/portfolio decisions
Generating reports for C-level executives
Suggesting day-to-day operational business improvements rooted in a deep understanding of company performan",2 reviews,"San Francisco, CA",San Francisco
Staff Scientist (Energy Storage & Distributed Resources),Lawrence Berkeley National Laboratory,"Berkeley Lab˚Ä˚s Energy Storage & Distributed Resources Division has an opening for a Staff Scientist. You will advance knowledge about the technology, design, operation and controls, economics, laboratory-tests and field-demonstration experiments for integration of distributed electricity sources (e.g., Solar PV, wind), storage devices (e.g., batteries), and control of distributed loads on electrical distribution grids and micro-grids. This research extends the Lab˚Ä˚s leadership in grid integration of DER, and modernized grid objectives. This position requires competence and skills in specialized areas of research and development relating to the programmatic needs of the division and the Grid integration group (GIG) leading independent research and development work.

What You Will Do:
Conceive, design and demonstrate novel, robust and scalable applications of high fidelity distribution grid measurements, which support the grid modernization and DER integration goals of Energy Technologies Area (ETA) and the Grid integration group (GIG). Develop methodologies and techniques to address key barriers to advancing distribution grid science such as co-simulation and distribution planning model validation, tools development, resiliency, reliability and security of the distribution grid, as well as micro-grids.
Prepare and present proposals and communicate directly with the funding agency to advance the global knowledge and understanding of various aspects of distribution power systems and DER integration, consistent with cutting edge science and technology. Identify new funding sources such as California Energy Commission (CEC), ARPA-E, SunShot, Department of Defense (DoD) that allow the development of the DER integration goals and testing facilities. Secure and support current funding sources from the DOE, CEC, and DoD.
Develop strong relationships with industrial partners and the other lab consortiums to secure industry projects that support directly CEC and U.S. Department of Energy (DOE), DoD goals for DER integration. Achieve strong utility (IOU or municipal) buy in to technical project objectives ensuring projects can source real measured and modeled utility data enhancing the viability and impact of research, and true understanding of the research application to future grid objectives.
Interact with Lab-wide professional staff and develops internal and external collaborations. Liaison between researchers, technical, facilities and engineering staff to integrate laboratory experimental equipment testing networks. This includes research and advisory collaborations with other departments within ETA and Lab wide (e.g. Computational Research Division). Also, establish research links to the University of California, Berkeley.
Contribute to the growth of the Grid Integration Group, train, mentor, and promote junior staff. Secure and increase the leadership and lead team-building efforts.
Lead peer reviewed journal, technical reports and conference publications advancing both the knowledge base in distribution system management, micro-grids, and analytics and the further growth and visibility of the GIG team.

Additional Responsibilities as needed:
May serve as project or group leader, be assisted by other scientists and engineers and support staff, have principal investigator status, and directly supervise other professionals, technical support staff, or students.

What is Required:
Advanced degree in Electrical or Mechanical Engineering and at least 5 years of relevant professional experience.
Experience in micro-grids, experimental measurements, data analysis, and simulations of distribution grids.
Experience with Transactive Energy research.
Demonstrated ability to independently carry out creative research with a proven record of publications and achievement.
Recognized as a resource or active impact contributor in own field as perceived through conference presentations, publications in refereed journals, invited lectures, and awards.
Effective problem-solving and decision-making skills, with the ability to troubleshoot experimental processes and/or simulations, and provide analysis and offer solutions.
Ability to prepare and present clear technical reports to collaborators, Division and Area staff, leadership, and research sponsors.
Highly effective interpersonal skills, with experience in establishing effective collaborations and interacting with members of the scientific, instrumentation, field-work and electrical power-related institutional agencies, and funding research-sponsor communities.
Outstanding written communication skills.
Experience preparing large successful funding proposals.
Outstanding leadership, interpersonal, and communication skills, ability to gain respect and trust of close peers and co-workers, demonstrated ability to craft and write successful proposals against stiff competition, ability to make effective and persuasive presentations, and tactful and diplomatic communication skills, both written and oral, with various stakeholders including potential or existing funders.
Ability to work in a multidisciplinary, multicultural team and support a highly varied group of external collaborators, engineers and support staff.

Additional Desired Qualifications:
Masters in Science degree in Electrical Engineering or Mechanical Engineering with working experience in Electrical Engineering, or an engineering science relevant to distribution grids and micro-grids, or equivalent demonstrated research experience and expertise (20+ years expertise with MS).
Ph.D. with 10+ years of experience.

The posting shall remain open until the position is filled, however for full consideration, please apply by close of business on May 27, 2018.

Notes:
This is a full time career appointment.
Full-time, M-F, exempt (monthly paid) from overtime pay.
Salary is commensurate with experience.
This position may be subject to a background check. Any convictions will be evaluated to determine if they directly relate to the responsibilities and requirements of the position. Having a conviction history will not automatically disqualify an applican"" from being considered for employment.
W",123 reviews,"San Francisco Bay Area, CA",San Francisco
Associate Scientist / Scientist - Oral Solid Dose - Manufacturing Operations - GMP,PPD,"Associate Scientist / Scientist - Oral Solid Dose - Manufacturing Operations - GMP - 149011
Description

EXPECT MORE FROM YOUR CAREER
EXPECT PPD

PPD is a leading global contract research organization. At PPD we are passionate, deliberate, and driven by our purpose - to improve health.

PPD Laboratories offers the most comprehensive set of laboratory services available in the industry and continues to deliver innovative solutions to our clients through our collaborative approach, including PPD Laboratories FSP. PPD Laboratories FSP is a unique partnership that allows our clients to leverage the experience of our PPD staff, while allowing you, the employee, to gain direct experience working onsite at a pharmaceutical/ biopharmaceutical company, all while maintaining full-time benefits/advantages of being a part of PPD.

As an Associate Scientist you will use state-of-the-art technologies to assist in solid dose formulation development and small-scale manufacturing while working onsite at a large pharmaceutical client site. You will be expected to assist scientists in the laboratory with setting up small-scale equipment for manufacturing solid dose formulations and cleaning-up the equipment post processing. You will regularly utilize isolator technology to handle potent compounds and must adhere strictly to existing procedures and safety guidelines. You will also perform routine testing on solid dosage forms such as tablet hardness, friability, particle size analysis, flow and density, as well as novel testing methods as necessary.

Grow your career within the scientific ladder, pursue project management, or develop into a leader. These are just a few career pathways available once you chose to Be with PPD.
At PPD we hire the best, develop ourselves and each other, and recognize the power of being one team. It's not just talk, our award-winning training programs speak for themselves.

Join PPD in our relentless pursuit of excellence - apply now!

Qualifications

Education and Experience:

Bachelor's degree in Pharmaceutical Science, Chemistry, Biochemistry, Physical Chemistry, Physics, Biology or equivalent and relevant formal academic / vocational qualification
Previous experience that provides the knowledge, skills, and abilities to perform the job (comparable 1+ year) or equivalent combination of education, training, & experience.).

Knowledge, Skills and Abilities:

Knowledge of applicable regulatory authority, compendia and ICH guidelines
Ability to understand and independently apply GMPs and /or GLPs to everyday work with regard to documentation and instrument use
Knowledge of blending, milling, drying, roller compaction, wet granulation, tablet compression, and tablet film coating preferred
Ability to utilize Microsoft Excel, Word, and Google Sheets to perform tasks
Knowledge of data analysis softwares (Minitab, JMP, etc) preferred
Ability to independently optimize analytical methods
Good written and oral communication skills
Time management and project management skills
Problem solving and troubleshooting abilities
Ability to work in a collaborative work environment with a team
Working Conditions

Work is performed in a laboratory and/or a clinical environment with exposure to electrical office equipment.
Regularly work in isolator type enclosures
Occasional drives to site locations, occasional domestic travel.
Exposure to biological fluids with potential exposure to infectious organisms.
Rare exposure to skin and lung irritants, radiation, toxic materials and hazardous waste.
Personal protective equipment required such as protective eyewear, garments and gloves.
Exposure to fluctuating and/or extreme temperatures on rare occasions.
Physical Requirements

Ability to work in an upright and /or stationary position for 6-8 hours per day.
Repetitive hand movement of both hands with the ability to make fast, simple, repeated movements of the fingers, hands, and wrists to operate lab equipment.
Occasional mobility needed.
Occasional crouching, stooping, with frequent bending and twisting of upper body and neck.
Light to moderate lifting and carrying (or otherwise moves) objects including luggage and laptop computer with a maximum lift of 15-20 lbs.
Ability to access and use a variety of computer software developed both in-house and off-the-shelf.
Ability to communicate information and ideas so others will understand; with the ability to listen to and understand information and ideas presented through spoken words and sentences.
Frequently interacts with others to obtain or relate information to diverse groups.
Works independently with little guidance or reliance on oral or written instructions and plans work schedules to meet goals. Requires multiple periods of intense concentration.
Performs a wide range of variable tasks as dictated by variable demands and changing conditions with little predictability as to the occurrence. Ability to perform under stress. Ability to multi-task.
Regular and consistent attendance.
PPD is an affirmative action employer that values diversity as a strength and fosters an environment of mutual respect. PPD provides equal employment opportunities without regard to age, race, color, pregnancy, national origin, religion, sex, gender identity, sexual orientation, disability, veteran status or other status within any other protected group.


key words: GMP, ""manufacturing operations"" , pharma, SOP, operator, ""roller compaction"", ""tablet compression"" , ""film coating""

IndeedPPDUS1

Organization - Lab Operations
Primary Location - North America-United States-California-FSP San Francisco CA",419 reviews,"San Francisco, CA",San Francisco
Customer Operations--CRM Analyst,JUUL Labs,"THE COMPANY:
JUUL's mission is to improve the lives of the world˚Ä˚s one billion adult smokers by driving innovation to eliminate cigarettes. JUUL is the number one US-based vapor product. Headquartered in San Francisco and backed by leading technology investors including Tiger Global, Fidelity Investments and Tao Invest LLC, JUUL Labs is disrupting one of the world˚Ä˚s largest and oldest industries.

We˚Ä˚re an exceptional team with backgrounds in technology, healthcare, CPG and biotech, and we˚Ä˚re growing rapidly to deliver on our mission. We˚Ä˚re actively looking to hire the world˚Ä˚s best scientists, engineers, designers, product managers, supply chain experts, customer service and business professionals.

ROLE AND RESPONSIBILITIES:
The CRM System Analyst is responsible for managing JUUL Labs˚Ä˚s customer service technical infrastructure which is centered around the Salesforce platform. The main responsibility of this position will be to administer the system on a daily basis as well as drive enhancements and solutions to continuously increase the effectiveness of our service teams. The Systems Analyst needs to be a self-motivated individual who brings technical and process leadership as well as a service-oriented mindset in everything they do.

Daily Administrative Tasks


Manages user licenses for the platform and associated apps
Provides technical support to end users diagnosing and resolving issues
Stays apprised of overall system health and updates to the application products
Effectively communicate changes in systems infrastructure, service outages, and data sources to stakeholders and senior management

Strategic Configuration


Works with department heads to plan and execute structural changes to achieve business objectives
Optimizes customer service processes via automation and user interface improvements
Serves as project manager for development undertaken by third-party consultants
Uses system tools to ensure data quality input by customers, users, and bulk uploads integrations
Further, administers connected phone and chat platforms
Assists the Technology department in integrating data from e-commerce and business platforms
Manage new and existing data flows and data accuracy between internal and external systems and services

PERSONAL AND PROFESSIONAL QUALIFICATIONS:

3 years (minimum) experience working with service or sales teams implementing Salesforce projects
Excellent communication, analytical, problem-solving, and organizational skills to help translate business concepts to technical projects, and vice versa
SFDC certifications (Admin/Advanced Admin, Developer/Developer II) preferred
Excel proficiency a necessity, SQL a plus
Experience with Telephony, Social Media, and Chat technologies a plus.

KEY ATTRIBUTES NECESSARY FOR SUCCESS:

Technical and business expertise ÅEÄÅE Applies emerging knowledge and trends, builds strong relationships, contributes to expertise within and beyond the assigned area.
Communication ÅEÄÅE Listens well, expresses ideas fluently",2 reviews,"San Francisco, CA",San Francisco
"Data Scientist, Marketing - Retail",Harnham,"Data Scientist, Marketing - Retail
Oakland, California
$110,000-130,000
As a Senior Marketing Data Scientist within the retail space you will be working closely with data that reflects the needs and engagement of a large consumer base. In this role you will have the ability to drive change and improve performance within the company's ecommerce and marketing space.
The Company:
This retailer was founded in San Francisco and grew exponentially due to their supply of unique and hand-crafted goods. Their products range from home d√©cor to internationally supplied snacks. Their growth has led to them needing a talented data scientist to be able to work closely with leadership to deliver clear insights regarding their ecommerce front as well as their marketing initiatives.
The Role:
In this role you will have the ability to create models and algorithms to provide insightful business solutions. The team you will sit on will be working collaboratively with large amounts of data to extract information that will help the business thrive regarding consumer interaction. You will have a direct hand in creating recommendations regarding future data characteristics and your algorithms will be essential to future data sets.
Your Skills and Experience:
Develop models and algorithms that determine current business trends and give recommendations regarding creative solutions
Commercial experience with SQL, R, Python, and Hadoop with advanced proficiency
Work collaboratively within the data analytics as well as cross-functionally with different partners within the business
Stay current regarding best practices as well as technique within the retail industry
The Benefits:

This role provides many exciting benefits both in and out of the office.
There is a shuttle service provided that can take you directly to the office.
You will be working within a growing team that allows for room for individuals to work hands on with large amounts of data.
The company values innovation in ways that allows you to have a direct hand in improving business functions through creative solutions and thinking outside of the norm.
How to Apply:
Please register your interest by sending your CV to Isabella Arellano via the Apply link on this page.",0 reviews,"Oakland, CA",San Francisco
Scientist ÅEÄÅE Target Biology,Atreca,"Atreca is a biotechnology company focused on applying its Immune Repertoire Capture˚˚b technology to discover and develop novel cancer immunotherapeutics. Located in Redwood City, California, Atreca is looking for talented, entrepreneurial people who are dedicated to making a positive impact on human health. We have a unique opportunity for a highly motivated individual to become a key member of a growing biotechnology company.

Atreca's IRC technology identifies anti-tumor human antibodies in a highly accurate and precise fashion. Our goal is to apply this technology to elucidate and characterize novel tumor targets and associated biologic processes that were selected for attack by the patient's immune system. In this position, the successful candidate will apply her/his skills and expertise in molecular biology and protein biochemistry to further understand the unique biology associated with our targets and contribute to the clinical application of our antibodies using multiple strategies including molecular biology and protein biochemistry techniques. These include protein and carbohydrate arrays, immunoprecipitation, and other protein biochemistry techniques. The successful candidate will have extensive experience in molecular biology and protein biochemistry as related to the identification and characterization of proteins driving tumorigenesis.

PRIMARY DUTIES & RESPONSIBILITIES

 Responsible for conducting target identification screening efforts
 Perform protein purification including immunoprecipitation from radiolabeled cell lysates
 Generate, analyze and validate data from protein microarray screens
 Manage target identification efforts conducted with CROÅEÄÅEs
 Manage one or more research associates
 Work with other",0 reviews,"Redwood City, CA 94063",San Francisco
Ad Tech Data Engineer,Demandbase,"Demandbase, a leading SaaS-based B2B marketing technology company and San Francisco Business Times #5 Best Places to Work, is looking for more inspired and driven people to join us in our downtown San Francisco office. With a roster of dedicated, blue-chip customers that˚Ä˚s growing every single day, we˚Ä˚re in a phase of tremendous growth and establishing the team that will take us to the next level. As a company, we˚Ä˚re as committed to growing careers as we are to building extraordinary B2B marketing technology, all while enjoying an unparalleled work-life balance. If you love innovating and collaborating with highly intelligent, motivated people who are also pretty fun to hang out with, you˚Ä˚re probably a good fit for us.

The Ad Tech Data Engineer, with experience in the AdTech space, will own all aspects of data quality testing including design, implementation, integration, maintenance and production deployment of test automation, scripts and test-suites associated with the Demandbase Ad Tech product line. You will be responsible for building and enhancing highly visible and scalable test frameworks that use all the modern framework paradigms, techniques and tools in order to assure robust data quality.

You should possess proven analytical, design, and problem diagnosis skills. You like thinking ˚Ä˚outside the box˚Ä˚, are not afraid of ambiguity, get excited about difficult challenges, and are a go-getter. You are a strong team player and thrive in a startup environment where flexibility is essential and delivering rock solid, customer focused solutions is paramount.

What you˚Ä˚ll be doing˚Äf


You will provide core capabilities that will be used to build rich data testing frameworks. You will be an evangelist for data quality and provide guidance and expertise in your area.
Use large scale distributed systems or data platforms including Spark, Flink, Dataflow, BigQuery, BigTable, etc.
Work alongside our most senior engineers and data scientists to help us build and maintain a massively scalable data testing framework to deliver software in an iterative, continual-release environment..
Learn and contribute to the communities creating technologies we use.

What we˚Ä˚re looking for˚Äf


Bachelor˚Ä˚s Degree in Computer Science or equivalent
3+ years prior experience in data engineering, big data automation testing or data quality analysis
Experience building data testing automation frameworks and scripts based on requirements
Experience writing intermediate to advanced queries in databases like BigQuery, Postgres, MySQL or Oracle DBÅEÄÅEs.
Effective written skills and the ability to document automation and test harnesses
Excellent communication skills and the ability to work productively in a team
Experience working with Linux/Unix based web and application servers
Hands on experience working with source control tools, preferably Git
Strong knowledge of infrastructures such as Amazon Web Services or Google Compute
Highly Desired: Experience with products that use big data, machine learning or AI ; Experience working with terabyte level, real-time datasets; Knowledge of statistics and itÅEÄÅEs application toward testing big data
Bonus: Experience with performance, load and stress testing; Experience in the Advertising Technology space (DSPs, A",3 reviews,"San Francisco, CA",San Francisco
